CustomerID,Gender,Age,Location,Tenure (months),Subscription Type,Monthly Charges,Total Charges,Churn
1,Male,35,New York,12,Basic,50,600,No
2,Female,25,Los Angeles,24,Premium,80,1920,No
3,Male,40,Chicago,8,Basic,55,440,Yes
4,Female,30,San Francisco,36,Premium,95,3420,No
5,Male,50,Miami,6,Basic,60,360,Yes
6,Female,45,Boston,18,Premium,85,1530,No
7,Male,28,Seattle,14,Basic,65,910,No
8,Female,38,Dallas,20,Premium,90,1800,Yes
9,Male,33,Philadelphia,10,Basic,70,700,No
10,Female,55,Houston,48,Premium,100,4800,No
11,Male,29,New York,16,Basic,55,880,Yes
12,Female,42,Los Angeles,22,Premium,85,1870,No
13,Male,36,Chicago,7,Basic,60,420,Yes
14,Female,28,San Francisco,30,Premium,95,2850,No
15,Male,48,Miami,9,Basic,65,585,Yes
16,Female,50,Boston,20,Premium,80,1600,No
17,Male,32,Seattle,12,Basic,70,840,No
18,Female,40,Dallas,18,Premium,90,1620,Yes
19,Male,27,Philadelphia,14,Basic,75,1050,No
20,Female,35,Houston,24,Premium,100,2400,No
21,Male,31,New York,11,Basic,50,550,No
22,Female,48,Los Angeles,26,Premium,80,2080,No
23,Male,39,Chicago,7,Basic,55,385,Yes
24,Female,29,San Francisco,36,Premium,95,3420,No
25,Male,42,Miami,5,Basic,60,300,Yes
26,Female,47,Boston,19,Premium,85,1615,No
27,Male,33,Seattle,15,Basic,65,975,No
28,Female,37,Dallas,21,Premium,90,1890,Yes
29,Male,26,Philadelphia,9,Basic,70,630,No
30,Female,52,Houston,50,Premium,100,5000,No
31,Male,30,New York,15,Basic,50,750,Yes
32,Female,44,Los Angeles,23,Premium,80,1840,No
33,Male,38,Chicago,6,Basic,55,330,Yes
34,Female,26,San Francisco,32,Premium,95,3040,No
35,Male,49,Miami,8,Basic,60,480,Yes
36,Female,51,Boston,17,Premium,85,1445,No
37,Male,29,Seattle,13,Basic,65,845,No
38,Female,41,Dallas,19,Premium,90,1710,Yes
39,Male,28,Philadelphia,13,Basic,70,910,No
40,Female,36,Houston,25,Premium,100,2500,No
41,Male,34,New York,10,Basic,50,500,No
42,Female,46,Los Angeles,27,Premium,80,2160,No
43,Male,41,Chicago,5,Basic,55,275,Yes
44,Female,31,San Francisco,34,Premium,95,3230,No
45,Male,47,Miami,4,Basic,60,240,Yes
46,Female,49,Boston,18,Premium,85,1530,No
47,Male,25,Seattle,16,Basic,65,1040,No
48,Female,39,Dallas,20,Premium,90,1800,Yes
49,Male,35,Philadelphia,12,Basic,70,840,No
50,Female,53,Houston,48,Premium,100,4800,No
51,Male,32,New York,17,Basic,50,850,Yes
52,Female,43,Los Angeles,21,Premium,80,1680,No
53,Male,37,Chicago,4,Basic,55,220,Yes
54,Female,27,San Francisco,38,Premium,95,3610,No
55,Male,46,Miami,3,Basic,60,180,Yes
56,Female,52,Boston,16,Premium,85,1360,No
57,Male,30,Seattle,12,Basic,65,780,No
58,Female,40,Dallas,22,Premium,90,1980,Yes
59,Male,29,Philadelphia,14,Basic,70,980,No
60,Female,37,Houston,26,Premium,100,2600,No
61,Male,33,New York,9,Basic,50,450,No
62,Female,47,Los Angeles,25,Premium,80,2000,No
63,Male,42,Chicago,6,Basic,55,330,Yes
64,Female,34,San Francisco,32,Premium,95,3040,No
65,Male,48,Miami,7,Basic,60,420,Yes
66,Female,50,Boston,19,Premium,85,1615,No
67,Male,28,Seattle,13,Basic,65,845,No
68,Female,38,Dallas,21,Premium,90,1890,Yes
69,Male,26,Philadelphia,9,Basic,70,630,No
70,Female,54,Houston,51,Premium,100,5100,No
71,Male,31,New York,16,Basic,50,800,Yes
72,Female,45,Los Angeles,22,Premium,80,1760,No
73,Male,36,Chicago,7,Basic,55,385,Yes
74,Female,29,San Francisco,35,Premium,95,3325,No
75,Male,49,Miami,6,Basic,60,360,Yes
76,Female,51,Boston,20,Premium,85,1700,No
77,Male,32,Seattle,14,Basic,65,910,No
78,Female,40,Dallas,18,Premium,90,1620,Yes
79,Male,27,Philadelphia,14,Basic,75,1050,No
80,Female,35,Houston,24,Premium,100,2400,No
81,Male,31,New York,11,Basic,50,550,No
82,Female,48,Los Angeles,26,Premium,80,2080,No
83,Male,39,Chicago,7,Basic,55,385,Yes
